timestep	num_particles	potential_energy	kinetic_energy	temperature
13300	1998	0	57.64357842	0.4803631535
13400	1998	0	52.83573625	0.440297802
13500	1998	0	57.16831091	0.4764025909
13600	1998	0	51.23398244	0.4269498537
13700	1998	0	58.07540882	0.4839617402
13800	1998	0	59.29230107	0.4941025089
13900	1998	0	54.10298719	0.4508582266
14000	1998	0	53.15646706	0.4429705588
14100	1998	0	50.5491894	0.421243245
14200	1998	0	57.76989448	0.4814157873
14300	1998	0	56.569283	0.4714106917
14400	1998	0	60.29461921	0.50245516
14500	1998	0	61.7863374	0.514886145
14600	1998	0	56.59823233	0.4716519361
14700	1998	0	56.29863337	0.4691552781
14800	1998	0	58.3748381	0.4864569841
14900	1998	0	58.6521516	0.48876793
15000	1998	0	48.70977829	0.4059148191
15100	1998	0	53.94907683	0.4495756402
15200	1998	0	60.08999125	0.5007499271
15300	1998	0	56.51263098	0.4709385915
15400	1998	0	52.49311508	0.4374426257
15500	1998	0	63.3298715	0.5277489291
15600	1998	0	59.83738832	0.4986449026
15700	1998	0	63.75280296	0.531273358
15800	1998	0	66.72965667	0.5560804723
15900	1998	0	69.10805206	0.5759004338
16000	1998	0	52.26164422	0.4355137018
16100	1998	0	53.23506949	0.4436255791
16200	1998	0	58.86792995	0.4905660829
16300	1998	0	54.93384809	0.4577820674
16400	1998	0	50.7509364	0.42292447
16500	1998	0	55.70143896	0.464178658
16600	1998	0	76.34486826	0.6362072355
16700	1998	0	72.04862608	0.6004052174
16800	1998	0	74.1198043	0.6176650359
16900	1998	0	68.959488	0.5746624
17000	1998	0	67.3974298	0.5616452483
17100	1998	0	71.2000837	0.5933340308
17200	1998	0	68.71684891	0.5726404076
17300	1998	0	76.89257161	0.6407714301
17400	1998	0	65.84199488	0.5486832907
17500	1998	0	79.15458523	0.6596215436
17600	1998	0	74.41661781	0.6201384818
17700	1998	0	65.33902643	0.5444918869
17800	1998	0	61.69405947	0.5141171622
17900	1998	0	72.71317902	0.6059431585
18000	1998	0	69.42673302	0.5785561085
18100	1998	0	71.99647769	0.5999706474
18200	1998	0	60.69320675	0.505776723
18300	1998	0	58.7976038	0.4899800317
18400	1998	0	62.15645596	0.5179704664
18500	1998	0	61.30141259	0.5108451049
18600	1998	0	72.34259551	0.6028549626
18700	1998	0	78.67133318	0.6555944431
18800	1998	0	79.63161611	0.6635968009
18900	1998	0	74.71231389	0.6226026157
19000	1998	0	71.76207918	0.5980173265
19100	1998	0	81.8256027	0.6818800225
19200	1998	0	71.02858745	0.5919048954
19300	1998	0	74.12741209	0.6177284341
19400	1998	0	71.08282884	0.592356907
19500	1998	0	86.65087341	0.7220906117
19600	1998	0	75.24655946	0.6270546622
19700	1998	0	85.56176408	0.7130147007
19800	1998	0	73.62732651	0.6135610542
19900	1998	0	69.07319777	0.5756099814
20000	1998	0	69.22401854	0.5768668212
20100	1998	0	79.48012457	0.6623343714
20200	1998	0	82.57604022	0.6881336685
20300	1998	0	77.71757487	0.6476464573
20400	1998	0	71.1837883	0.5931982358
20500	1998	0	64.97567114	0.5414639261
20600	1998	0	58.55352809	0.4879460674
20700	1998	0	65.10032555	0.5425027129
20800	1998	0	80.58067361	0.6715056134
20900	1998	0	68.75417934	0.5729514945
21000	1998	0	80.63918811	0.6719932343
21100	1998	0	82.07612193	0.6839676828
21200	1998	0	78.38385852	0.653198821
21300	1998	0	75.32817166	0.6277347638
21400	1998	0	74.15929179	0.6179940983
21500	1998	0	81.34619641	0.6778849701
21600	1998	0	79.96168902	0.6663474085
21700	1998	0	91.16606197	0.759717183
21800	1998	0	79.17412632	0.659784386
21900	1998	0	80.8412221	0.6736768508
22000	1998	0	77.8787975	0.6489899792
22100	1998	0	83.1659087	0.6930492391
22200	1998	0	69.82006336	0.5818338613
22300	1998	0	77.44200658	0.6453500549
22400	1998	0	79.0407391	0.6586728259
22500	1998	0	75.11157625	0.6259298021
22600	1998	0	70.80458687	0.5900382239
22700	1998	0	71.62261915	0.5968551596
22800	1998	0	82.47456136	0.6872880113
22900	1998	0	75.97024503	0.6330853752
23000	1998	0	68.71278249	0.5726065207
23100	1998	0	78.34414702	0.6528678918
23200	1998	0	87.60655504	0.7300546253
23300	1998	0	76.26052533	0.6355043777
23400	1998	0	72.39683089	0.6033069241
23500	1998	0	71.71575563	0.5976312969
23600	1998	0	68.27900151	0.5689916792
23700	1998	0	70.84615231	0.5903846026
23800	1998	0	72.18822418	0.6015685349
23900	1998	0	77.01429626	0.6417858022
24000	1998	0	76.70687555	0.6392239629
24100	1998	0	76.81440907	0.6401200756
24200	1998	0	68.93281196	0.5744400997
24300	1998	0	69.79152723	0.5815960602
24400	1998	0	65.47707258	0.5456422715
24500	1998	0	68.5064458	0.5708870484
24600	1998	0	70.52684731	0.5877237276
24700	1998	0	82.31851111	0.6859875926
24800	1998	0	88.45306624	0.7371088853
24900	1998	0	76.99978915	0.6416649096
25000	1998	0	74.54572852	0.6212144043
25100	1998	0	72.50921594	0.6042434662
25200	1998	0	70.08769065	0.5840640888
25300	1998	0	76.743659	0.6395304917
25400	1998	0	80.66472069	0.6722060057
25500	1998	0	71.41087072	0.5950905893
25600	1998	0	64.11392767	0.5342827306
25700	1998	0	66.89745954	0.5574788295
25800	1998	0	65.72910301	0.5477425251
25900	1998	0	64.82833676	0.5402361396
26000	1998	0	66.92548983	0.5577124152
26100	1998	0	62.58326759	0.5215272299
26200	1998	0	64.24810601	0.5354008834
26300	1998	0	66.15857603	0.5513214669
26400	1998	0	68.44393846	0.5703661538
26500	1998	0	73.65432665	0.6137860554
26600	1998	4.171230908	67.05031982	0.5587526652
26700	1998	0	62.76189997	0.5230158331
26800	1998	0	63.96881818	0.5330734848
26900	1998	0	73.68683288	0.6140569407
27000	1998	0	75.55607631	0.6296339692
27100	1998	0	73.09153596	0.609096133
27200	1998	0	67.7799189	0.5648326575
27300	1998	0	61.26460777	0.5105383981
27400	1998	0	70.56197403	0.5880164502
27500	1998	0	65.58891379	0.5465742816
27600	1998	0	61.80302088	0.515025174
27700	1998	0	68.41492436	0.5701243697
27800	1998	0	69.47881246	0.5789901039
27900	1998	0	58.27733807	0.4856444839
28000	1998	0.1805090463	62.16288836	0.5180240697
28100	1998	0	66.72617963	0.5560514969
28200	1998	0	82.66042056	0.688836838
28300	1998	0	52.09709785	0.4341424821
28400	1998	0	65.46596518	0.5455497099
28500	1998	0	74.63276022	0.6219396685
28600	1998	0	69.81040845	0.5817534037
28700	1998	0	73.83175861	0.6152646551
28800	1998	0	63.99303341	0.5332752784
28900	1998	0	74.62423115	0.6218685929
29000	1998	0	71.92997883	0.5994164903
29100	1998	0	73.37569968	0.611464164
29200	1998	0	68.62412463	0.5718677053
29300	1998	0	64.68113252	0.5390094377
29400	1998	0	68.1659539	0.5680496158
29500	1998	0	68.17093366	0.5680911138
29600	1998	0	67.61084816	0.5634237347
29700	1998	0.1560834344	71.68787901	0.5973989918
29800	1998	0	75.89697002	0.6324747502
29900	1998	0	65.06867277	0.5422389398
30000	1998	0	62.04279175	0.5170232646
30100	1998	0	79.38221768	0.6615184807
30200	1998	0	63.66220774	0.5305183978
30300	1998	0	69.43443331	0.5786202776
30400	1998	0	73.02206621	0.6085172184
30500	1998	0	72.25868769	0.6021557308
30600	1998	0	67.57066509	0.5630888757
30700	1998	0	65.21029156	0.5434190963
30800	1998	0	67.52382781	0.562698565
30900	1998	0	56.75347511	0.472945626
31000	1998	0	70.69377503	0.5891147919
31100	1998	0	63.48531831	0.5290443192
31200	1998	0	66.19080685	0.551590057
31300	1998	0	61.53251345	0.5127709454
31400	1998	0	64.11237986	0.5342698321
31500	1998	0	66.9197129	0.5576642742
31600	1998	0	63.64664424	0.530388702
31700	1998	0	63.60937552	0.5300781294
31800	1998	0	71.54484303	0.5962070252
31900	1998	0	72.51982529	0.6043318774
32000	1998	0	67.75118082	0.5645931735
32100	1998	0	68.20667597	0.5683889664
32200	1998	0	69.27028454	0.5772523712
32300	1998	0	82.3832971	0.6865274758
32400	1998	0	72.8441632	0.6070346934
32500	1998	0	68.48554527	0.5707128772
32600	1998	0	78.65908788	0.655492399
32700	1998	0	68.60812368	0.571734364
32800	1998	0	85.79056003	0.7149213336
32900	1998	0	70.18627336	0.5848856113
33000	1998	0	74.02537103	0.6168780919
33100	1998	0	73.00642566	0.6083868805
33200	1998	0	70.363187	0.5863598917
33300	1998	0	71.04192279	0.5920160232
33400	1998	0	67.34663437	0.5612219531
33500	1998	0	76.45796364	0.637149697
33600	1998	0	69.06901892	0.5755751577
33700	1998	0	67.13966422	0.5594972018
33800	1998	0	66.4043977	0.5533699808
33900	1998	0	80.85943265	0.6738286054
34000	1998	0	79.03494148	0.6586245123
34100	1998	0	77.43645939	0.6453038283
34200	1998	0	68.91483832	0.5742903194
34300	1998	0	59.7849101	0.4982075841
34400	1998	0	70.36146797	0.5863455664
34500	1998	0	78.08540982	0.6507117485
34600	1998	0	71.91761587	0.5993134656
34700	1998	0	70.27205167	0.5856004306
34800	1998	0	65.84322895	0.5486935746
34900	1998	0	65.27615262	0.5439679385
35000	1998	0	72.70101273	0.6058417728
35100	1998	0	79.39417623	0.6616181353
35200	1998	0	67.02187646	0.5585156372
35300	1998	0	66.83068733	0.5569223944
35400	1998	0	66.80320411	0.5566933676
35500	1998	0	66.63799806	0.5553166505
35600	1998	0	68.4887681	0.5707397342
35700	1998	0	58.71765416	0.4893137847
35800	1998	0	58.2859779	0.4857164825
35900	1998	0	74.37911899	0.6198259916
36000	1998	0	60.37998305	0.5031665254
36100	1998	0	77.12801508	0.642733459
36200	1998	0	71.43892203	0.5953243503
36300	1998	0	71.63215573	0.596934631
36400	1998	0	70.97312258	0.5914426881
36500	1998	0	56.36059077	0.4696715897
36600	1998	0	49.03371042	0.4086142535
36700	1998	0	64.47882799	0.5373235666
36800	1998	0	66.44726082	0.5537271735
36900	1998	0	62.18232336	0.518186028
37000	1998	0	71.68581235	0.5973817696
37100	1998	0	62.10097777	0.5175081481
37200	1998	0	81.84080314	0.6820066928
37300	1998	0	62.7108395	0.5225903292
37400	1998	0	62.2045307	0.5183710892
37500	1998	0	66.80212774	0.5566843978
37600	1998	0	73.11305069	0.6092754224
37700	1998	0	61.34938074	0.5112448395
37800	1998	0	71.8663199	0.5988859991
37900	1998	0	74.77164275	0.6230970229
38000	1998	0	69.93449702	0.5827874751
38100	1998	0	70.35339596	0.5862782997
38200	1998	0	65.37079846	0.5447566538
38300	1998	0	64.8382953	0.5403191275
38400	1998	0	65.09450085	0.5424541738
38500	1998	0	72.7806094	0.6065050783
38600	1998	0	66.14506752	0.551208896
38700	1998	0	63.0545826	0.525454855
38800	1998	0	62.38517848	0.5198764873
38900	1998	0	75.53375385	0.6294479488
39000	1998	0	80.83618448	0.6736348707
39100	1998	0	74.36794464	0.619732872
39200	1998	0	76.56436564	0.6380363803
39300	1998	0	82.95323971	0.6912769976
39400	1998	0	76.92046783	0.6410038986
39500	1998	0	78.17625613	0.6514688011
39600	1998	0	80.71495982	0.6726246652
39700	1998	0	82.04160873	0.6836800727
39800	1998	0	71.15783491	0.5929819576
39900	1998	0	79.2703861	0.6605865508
40000	1998	0	75.69966083	0.6308305069
40100	1998	0	84.30788035	0.7025656695
40200	1998	0.001390678643	85.70673476	0.7142227896
40300	1998	0	79.8177534	0.665147945
40400	1998	0	75.5847692	0.6298730767
40500	1998	0	67.8959083	0.5657992358
40600	1998	0	66.43312667	0.5536093889
40700	1998	0	79.33640949	0.6611367458
40800	1998	0	72.49324565	0.6041103804
40900	1998	0	75.27132021	0.6272610018
41000	1998	0	72.18938559	0.6015782132
41100	1998	0	70.31330194	0.5859441828
41200	1998	0	85.27049973	0.7105874977
41300	1998	0	79.33676717	0.6611397264
41400	1998	0	80.0894729	0.6674122742
41500	1998	0	73.01856107	0.6084880089
41600	1998	0	70.25929692	0.585494141
41700	1998	0	69.8410353	0.5820086275
41800	1998	0	76.47613209	0.6373011008
41900	1998	0	74.31568972	0.6192974144
42000	1998	0	79.34213863	0.6611844886
42100	1998	0	75.81292671	0.6317743893
42200	1998	0	85.76576634	0.7147147195
42300	1998	0	70.81609365	0.5901341137
42400	1998	0	76.28348258	0.6356956882
42500	1998	0	69.01476438	0.5751230365
42600	1998	0	76.62422082	0.6385351735
42700	1998	0	82.30378292	0.6858648577
42800	1998	0.01423925245	81.10005867	0.6758338223
42900	1998	0	75.11367061	0.6259472551
43000	1998	0	71.02720548	0.591893379
43100	1998	0	72.88498099	0.6073748415
43200	1998	0	79.43140462	0.6619283718
43300	1998	0	82.07457313	0.6839547761
